intacess,intacshm,intacwk,intacscl,intaclib,intuse,intuseyr,intusefq,intsite,libuseyr,libusefq,libstop,libuswhy,libnowhy,intuswhy,libradeq,netradeq,libfind,netfind,libacinf,netacinf,libcurnt,netcurnt,libfun,intfun,surflib,surfnet,libusfut,netusfut,intnowhy,rsnonet,educ,rural,student,employed,income,gender,region,age,agecat4,internet,income3,libfreq,degree,kids
0,2,2,2,2,2,-1,-1,13,1,4,3,10,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,6,10,4,2,2,6,2,7,26,1,0,2,2,1,0
0,2,2,2,2,2,-1,-1,13,0,7,3,24,16,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,2,15,3,2,3,10,2,7,27,1,0,10,1,4,0
0,2,2,2,2,2,-1,-1,13,1,1,3,1,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,9,1,1,2,5,2,7,37,2,0,2,5,1,1
0,2,2,2,2,2,-1,-1,13,1,4,3,1,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,6,3,2,1,4,2,2,28,1,0,1,2,1,0
1,0,0,1,0,1,.5,3,3,1,3,3,14,21,4,8,8,6,7,7,7,10,7,9,9,8,8,3,3,13,4,13,2,2,1,10,1,7,22,1,1,10,3,3,0
1,1,0,0,0,0,-1,-1,13,0,7,2,24,1,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,14,13,1,2,1,4,1,6,51,3,2,1,1,3,0
0,2,2,2,2,2,-1,-1,13,0,7,3,24,18,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,3,3,1,3,4,2,7,25,1,0,1,1,1,1
0,2,2,2,2,2,-1,-1,13,1,2,3,1,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,9,12,2,2,2,4,2,2,35,1,0,1,4,2,0
0,2,2,2,2,2,-1,-1,13,1,3,3,20,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,1,9,3,1,1,10,2,6,41,2,0,10,3,1,0
0,2,2,2,2,2,-1,-1,13,0,7,3,24,18,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,12,9,3,2,3,10,2,7,28,1,0,10,1,1,1
0,2,2,2,2,2,-1,-1,13,1,1,3,1,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,6,1,2,3,5,2,7,59,3,0,2,5,1,0
1,1,0,1,1,1,3,1,1,1,1,3,14,21,10,10,9,9,9,10,6,8,7,8,9,9,9,1,1,13,14,13,3,1,4,10,2,6,20,1,1,10,5,3,1
0,2,2,2,2,2,-1,-1,13,0,7,3,24,18,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,10,4,2,6,1,1,6,74,4,0,1,1,1,0
0,2,2,2,2,2,-1,-1,13,1,4,3,1,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,13,3,2,3,3,2,6,26,1,0,1,2,3,1
0,2,2,2,2,2,-1,-1,13,0,7,3,1,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,12,1,2,1,3,2,5,29,1,0,1,1,2,1
0,2,2,2,2,2,-1,-1,13,1,1,3,12,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,13,1,1,2,10,2,1,21,1,0,10,5,3,0
1,1,0,0,0,1,2,5,1,0,7,3,24,11,12,8,8,5,8,8,8,7,7,99,6,99,5,5,4,13,14,14,2,2,1,8,2,2,29,1,1,3,1,3,1
0,2,2,2,2,2,-1,-1,13,1,1,3,14,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,9,12,3,2,3,2,2,1,20,1,0,1,5,2,1
1,1,1,0,0,1,2,2,2,0,7,3,24,1,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,5,2,13,14,14,1,2,1,8,1,2,36,2,1,3,1,3,1
0,2,2,2,2,2,-1,-1,13,0,7,3,21,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,5,1,2,3,4,2,5,30,1,0,1,1,1,1
1,1,1,1,1,1,2,1,10,1,4,3,10,21,10,8,8,9,3,10,3,6,7,5,5,7,6,4,1,13,14,16,2,2,1,8,1,5,41,2,1,3,2,4,0
0,2,2,2,2,2,-1,-1,13,0,7,3,24,3,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,12,12,3,2,3,10,2,7,86,4,0,10,1,2,0
0,2,2,2,2,2,-1,-1,13,0,7,2,24,1,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,12,10,3,2,3,4,2,4,60,3,0,1,1,1,0
0,2,2,2,2,2,-1,-1,13,1,2,3,12,21,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,1,12,2,2,3,7,2,2,38,2,0,2,4,2,1
0,2,2,2,2,2,-1,-1,13,0,7,3,24,1,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,5,3,2,2,10,2,3,36,2,0,10,1,1,1
0,2,2,2,2,2,-1,-1,13,0,7,3,24,2,27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,10,6,3,2,3,10,2,4,31,1,0,10,1,1,1
