"ID","AGE","AGECAT","CPLDIFED","DEGREE","EDUC","EMAILHRS","FINRELA","HAPMAR","HAPPY","HRS1","HUSBEDUC","HUSBFT","HUSBHR","INCOMDOL","INCOME","LIFE","MAEDUC","MARITAL","NDEGREE","NETCAT","NETHRS","PAEDUC","PARTYID","POSTLIFE","PRES96","PRTDIFED","RICHWORK","RINCDOL","RINCOME","SATJOB","SEX","SIBS","SPDEG","SPEDUC","SPHRS1","SPWRKSTA","SRCHENG2","TVHOURS","USECOMP","USEMAIL","USENET","USEWEB","VOTE96","WEBHRS","WIFEDUC","WIFEFT","WIFEHR","WRKSTAT","ZODIAC"
"23",38,43,"40-49",NA,"High school",14,0.5,"AVERAGE",NA,NA,45,NA,NA,NA,21250,13,NA,12,"NEVER MARRIED","high school",NA,NA,14,"INDEPENDENT","YES",NA,2,NA,21250,13,"VERY SATISFIED","Male",8,NA,NA,NA,NA,NA,4,"Yes","Yes","Yes","No","DID NOT VOTE",-2,NA,NA,NA,"WORKING FULLTIME","LIBRA"
"24",39,29,"18-29",NA,"Bachelor",16,6,"ABOVE AVERAGE",NA,"PRETTY HAPPY",50,NA,NA,NA,67500,20,"EXCITING",13,"NEVER MARRIED","junior college or more","4+ to 10 hours",8,16,"IND,NEAR REP","YES","PEROT",3,"STOP WORKING",67500,20,"MOD. SATISFIED","Male",3,NA,NA,NA,NA,"YAHOO",2,"Yes","Yes","Yes","Yes","VOTED",2,NA,NA,NA,"WORKING FULLTIME","TAURUS"
"25",41,31,"30-39",0,"Bachelor",16,2,"AVERAGE","VERY HAPPY","PRETTY HAPPY",47,16,"No",25,37500,17,"ROUTINE",16,"MARRIED","junior college or more","4+ to 10 hours",5,12,"IND,NEAR DEM","YES","DOLE",-4,"CONTINUE WORKING",21250,13,"VERY SATISFIED","Female",2,"BACHELOR",16,25,"WORKING PARTTIME",NA,2,"Yes","Yes","Yes","Yes","VOTED",3,16,"Yes",47,"WORKING FULLTIME","GEMINI"
"26",42,45,"40-49",2,"Junior college",14,NA,"ABOVE AVERAGE","VERY HAPPY","VERY HAPPY",45,16,"Yes",40,100000,22,"EXCITING",NA,"MARRIED","junior college or more",NA,NA,10,"INDEPENDENT","YES","DOLE",NA,"STOP WORKING",67500,20,"VERY SATISFIED","Female",11,"BACHELOR",16,40,"WORKING FULLTIME",NA,NA,NA,NA,NA,NA,"VOTED",-1,14,"Yes",45,"WORKING FULLTIME","AQUARIUS"
"27",45,26,"18-29",NA,"High school",14,1,"AVERAGE",NA,"PRETTY HAPPY",40,NA,NA,NA,32500,16,NA,16,"NEVER MARRIED","high school","4+ to 10 hours",5,16,"IND,NEAR REP","NO",NA,0,NA,27500,15,"MOD. SATISFIED","Male",2,NA,NA,NA,NA,"YAHOO",1,"Yes","Yes","Yes","Yes","DID NOT VOTE",4,NA,NA,NA,"WORKING FULLTIME","SCORPIO"
"28",46,46,"40-49",NA,"Less than HS",6,NA,"BELOW AVERAGE",NA,"PRETTY HAPPY",30,NA,NA,NA,11250,9,"ROUTINE",0,"NEVER MARRIED","Lt than high school",NA,NA,NA,"STRONG DEMOCRAT","YES",NA,NA,"STOP WORKING",11250,9,"MOD. SATISFIED","Female",17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DID NOT VOTE",-1,NA,NA,NA,"WORKING FULLTIME","ARIES"
"29",47,65,"60-89",2,"Bachelor",18,NA,"ABOVE AVERAGE","VERY HAPPY","VERY HAPPY",50,18,"Yes",50,110000,23,"EXCITING",14,"MARRIED","junior college or more","Not Internet user",NA,10,"STRONG REPUBLICAN","YES","DOLE",-4,"CONTINUE WORKING",82500,21,"VERY SATISFIED","Male",1,"BACHELOR",16,40,"WORKING FULLTIME",NA,1,"No","No","No","No","VOTED",-1,16,"Yes",40,"WORKING FULLTIME","AQUARIUS"
"30",49,56,"50-59",3,"Bachelor",16,2,"ABOVE AVERAGE","VERY HAPPY","VERY HAPPY",40,19,"Yes",30,110000,23,"EXCITING",10,"MARRIED","junior college or more","1+ to  4 hours",2.5,16,"NOT STR REPUBLICAN","YES","DOLE",6,"STOP WORKING",37500,17,"MOD. SATISFIED","Female",1,"GRADUATE",19,30,"WORKING FULLTIME","YAHOO",5,"Yes","Yes","Yes","Yes","VOTED",0.5,16,"Yes",40,"WORKING FULLTIME","LIBRA"
"31",50,66,"60-89",-2,"Bachelor",16,10,"ABOVE AVERAGE","VERY HAPPY","PRETTY HAPPY",42,16,"Yes",42,110000,23,NA,NA,"MARRIED","junior college or more","More than 10",16,NA,"STRONG REPUBLICAN","YES","DOLE",NA,NA,55000,19,"VERY SATISFIED","Male",1,"GRADUATE",18,50,"WORKING FULLTIME","EXPLORER",3,"Yes","Yes","Yes","Yes","VOTED",6,18,"Yes",50,"WORKING FULLTIME","LEO"
"32",51,20,"18-29",NA,"Less than HS",11,0,"ABOVE AVERAGE",NA,"PRETTY HAPPY",40,NA,NA,NA,82500,21,NA,NA,"NEVER MARRIED","Lt than high school","1+ to  4 hours",2,NA,"STRONG REPUBLICAN","YES",NA,NA,NA,16250,11,"MOD. SATISFIED","Male",2,NA,NA,NA,NA,"EXPLORER",2,"Yes","No","Yes","Yes","INELIGIBLE",2,NA,NA,NA,"WORKING FULLTIME","LIBRA"
"33",53,59,"50-59",0,"Graduate",16,NA,"ABOVE AVERAGE","VERY HAPPY","VERY HAPPY",50,16,"Yes",50,100000,22,"EXCITING",14,"MARRIED","junior college or more",NA,NA,12,"STRONG DEMOCRAT","YES","CLINTON",-2,"STOP WORKING",100000,22,"VERY SATISFIED","Male",1,"GRADUATE",16,NA,"KEEPING HOUSE",NA,NA,NA,NA,NA,NA,"VOTED",-1,16,"No",NA,"WORKING FULLTIME","SCORPIO"
"34",56,39,"30-39",NA,"High school",12,0,"AVERAGE",NA,"PRETTY HAPPY",40,NA,NA,NA,NA,NA,"EXCITING",16,"DIVORCED","high school","One hour or less",0.5,12,"INDEPENDENT",NA,NA,-4,"STOP WORKING",NA,NA,"VERY SATISFIED","Female",2,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","DID NOT VOTE",0.5,NA,NA,NA,"WORKING FULLTIME","LIBRA"
"35",57,51,"50-59",NA,"High school",12,1,"AVERAGE",NA,"VERY HAPPY",40,NA,NA,NA,23750,14,"EXCITING",9,"DIVORCED","high school","1+ to  4 hours",2,NA,"INDEPENDENT","YES","PEROT",NA,"STOP WORKING",23750,14,"MOD. SATISFIED","Female",4,NA,NA,NA,NA,"ALTAVISTA",2,"Yes","Yes","Yes","Yes","VOTED",1,NA,NA,NA,"WORKING FULLTIME","CAPRICORN"
"36",58,45,"40-49",NA,"Graduate",18,5,"AVERAGE",NA,"PRETTY HAPPY",40,NA,NA,NA,45000,18,"ROUTINE",18,"DIVORCED","junior college or more","4+ to 10 hours",7,16,"IND,NEAR REP","YES","CLINTON",-2,"CONTINUE WORKING",45000,18,"VERY SATISFIED","Female",2,NA,NA,NA,NA,NA,2,"Yes","Yes","Yes","Yes","VOTED",2,NA,NA,NA,"WORKING FULLTIME","VIRGO"
"37",60,21,"18-29",NA,NA,15,0,"AVERAGE",NA,"PRETTY HAPPY",38,NA,NA,NA,NA,NA,"EXCITING",16,"NEVER MARRIED",NA,"One hour or less",0.5,NA,"NOT STR REPUBLICAN",NA,NA,NA,"CONTINUE WORKING",NA,NA,"VERY SATISFIED","Female",3,NA,NA,NA,NA,NA,NA,"Yes","No","Yes","Yes","INELIGIBLE",0.5,NA,NA,NA,"WORKING FULLTIME","CANCER"
"38",62,31,"30-39",0,"Graduate",20,NA,"AVERAGE","VERY HAPPY","PRETTY HAPPY",55,20,"Yes",60,67500,20,"DULL",12,"MARRIED","junior college or more",NA,NA,12,"NOT STR REPUBLICAN","YES","CLINTON",0,"CONTINUE WORKING",32500,16,"A LITTLE DISSAT","Female",2,"GRADUATE",20,60,"WORKING FULLTIME",NA,NA,NA,NA,NA,NA,"VOTED",-1,20,"Yes",55,"WORKING FULLTIME","PISCES"
"39",63,27,"18-29",NA,"Bachelor",16,NA,"AVERAGE",NA,"VERY HAPPY",50,NA,NA,NA,32500,16,"EXCITING",16,"NEVER MARRIED","junior college or more","Not Internet user",NA,NA,"STRONG DEMOCRAT","YES","CLINTON",NA,"CONTINUE WORKING",32500,16,"VERY SATISFIED","Female",6,NA,NA,NA,NA,NA,4,"Yes","No","No","No","VOTED",-1,NA,NA,NA,"WORKING FULLTIME","VIRGO"
"40",67,61,"60-89",NA,"Junior college",14,NA,"AVERAGE",NA,"VERY HAPPY",30,NA,NA,NA,32500,16,"ROUTINE",12,"DIVORCED","junior college or more",NA,NA,14,"STRONG REPUBLICAN","YES","DOLE",2,"CONTINUE WORKING",32500,16,"VERY SATISFIED","Female",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"VOTED",-1,NA,NA,NA,"WORKING FULLTIME","LIBRA"
"41",76,32,"30-39",NA,"Less than HS",11,NA,"FAR BELOW AVERAGE",NA,"PRETTY HAPPY",40,NA,NA,NA,11250,9,NA,10,"NEVER MARRIED","Lt than high school","Not Internet user",NA,12,"IND,NEAR DEM","YES",NA,2,NA,11250,9,"MOD. SATISFIED","Female",5,NA,NA,NA,NA,NA,5,"No","No","No","No",NA,-1,NA,NA,NA,"WORKING FULLTIME","AQUARIUS"
"42",79,32,"30-39",0,"Graduate",19,NA,"FAR BELOW AVERAGE","VERY HAPPY","PRETTY HAPPY",40,19,"Yes",40,110000,23,NA,12,"MARRIED","junior college or more","Not Internet user",NA,12,"STRONG DEMOCRAT","YES","CLINTON",0,NA,55000,19,"MOD. SATISFIED","Male",6,"BACHELOR",19,40,"WORKING FULLTIME",NA,2,"Yes","No","No","No","VOTED",-1,19,"Yes",40,"WORKING FULLTIME","ARIES"
"43",80,29,"18-29",NA,"Graduate",18,NA,"AVERAGE",NA,"PRETTY HAPPY",40,NA,NA,NA,67500,20,"ROUTINE",12,"NEVER MARRIED","junior college or more","Not Internet user",NA,NA,"NOT STR REPUBLICAN","YES","CLINTON",NA,NA,37500,17,"MOD. SATISFIED","Female",1,NA,NA,NA,NA,NA,4,"Yes","No","No","No","VOTED",-1,NA,NA,NA,"WORKING FULLTIME","AQUARIUS"
"44",87,22,"18-29",NA,"High school",12,NA,"AVERAGE",NA,"PRETTY HAPPY",40,NA,NA,NA,82500,21,"ROUTINE",12,"NEVER MARRIED","high school","Not Internet user",NA,NA,"INDEPENDENT","YES",NA,NA,"CONTINUE WORKING",23750,14,"VERY SATISFIED","Male",8,NA,NA,NA,NA,NA,3,"No","No","No","No","INELIGIBLE",-1,NA,NA,NA,"WORKING FULLTIME","SCORPIO"
